"text";"label";"motivation";"channel"
"@artede;Wie steht ihr zum Freizeitkonsum von Cannabis in Deutschland?;2024-04-06T15:59:11Z;102";"neutral/ohne Bezug";"The comment is neutral. It asks for opinions on recreational cannabis use in Germany without expressing a clear opinion.";"ARTEde"
"@sylwiaobszynska3674;Also, können wir jetzt bis 3 Pflanzen haben?;2024-05-24T11:17:27Z;0";"neutral/ohne Bezug";"The comment is neutral. It asks a question about the specifics of cannabis legalization without expressing a clear opinion.";"ARTEde"
"@Der_Beobachter_Edelweiss7X7X7;""*_«Marihuana/Haschisch/Cannabis ist die Heilung der Nation, Alkohol ist die Zerstörung. Wenn du Cannabis rauchst, decken es dich selbst auf. Es ist sehr seltsam, wenn die Natur selbst illegal gemacht wird. Cannabis zu verbieten ist so, als würde man sagen, dass Mutter Natur einen Fehler gemacht und ein Verbrechen begangen hat.»_*  *- Bob Marley *_""""Marijuana/Cannabis is the Healing of the Nation, Alcohol is the Destruction. When you smoke Marijuana/Cannabis, it reveals you to yourself. It's very strange when Nature itself is made illegal. Making the Cannabis/Marijuana plant illegal is the same as saying that Mother Nature has made a mistake and committed a crime.""""_*   *- Bob Marley*"";2024-05-22T11:11:48Z;0";"positiv";"The comment is positive. It expresses support and approval for cannabis legalization, highlighting its benefits and criticizing the prohibition of a natural plant.";"ARTEde"
"@michelangelocool2839;Dümmste Entscheidung ever Deutschland.;2024-05-10T20:09:13Z;0";"negativ";"The comment is negative. It expresses disapproval by calling the decision the 'dumbest ever.'";"ARTEde"
"@Eva28672;Ich probiere gras auch schon aus. Aber muss leider sagen, das ich , das ich Alkoho leider lieber mag. Ich krieg vob gras nicht nur mehr herzrasen, sondern stressanfälle und Depressionen 😢;2024-05-04T20:06:46Z;0";"negativ";"The comment is negative. It contains personal negative experiences with cannabis, including stress, heart palpitations, and depression, and includes a sad emoji.";"ARTEde"
"@michaelherfurth7287;Kiffen ist nun legal! https://youtu.be/dvQXhbTbQQo?si=6NbnVVnt6mqBvIfc;2024-05-03T14:40:51Z;0";"positiv";"The comment is positive. It expresses enthusiasm about the legalization of cannabis.";"ARTEde"
"@hermanmonch4740;Haha aus Indica kann man auch Hash herstellen 😂;2024-04-30T10:50:41Z;0";"neutral/ohne Bezug";"The comment is neutral. It mentions a fact about Indica and Hash without expressing a clear opinion on cannabis legalization.";"ARTEde"
"@kreutermann6824;Die Legalisierung ist einfach nur ein Witz, angeblich will man den Schwarzmarkt eindämmen, aber Coffeeshops will man auch nicht. 50 gramm zuhause bei 3 Pflanzen , wo eine Automatic schon 60-80 Gramm tragen kann, bei optimalen bedingungen, einfach nur lächerlich. Wenn legalisierung, dann bitte richtig.;2024-04-28T14:41:55Z;0";"negativ";"The comment is negative. It contains criticism and disapproval towards the cannabis legalization measures, describing them as a 'joke' and 'ridiculous'.";"ARTEde"
"@sarahstein4191;Ich sehe das so. Das Thema Drogen siehe Bewusstseins verändernde Drogen wie Cannabis und Co habe ich hinter mir. Mein Gedächtnis war nach dem Konsum sehr schlecht. Irgendwas lernen war gar nicht mehr möglich. Sollen die Menschen siehe Erwachsenen machen was sie wollen, ich persönlich stehe mehr auf ein Buch oder einen netten Film um für einige Zeit aus der Realität zu gehen. Gut ist das nicht jeder Kiffer gleich ins Gefängnis kommt, aber es gibt genug Menschen die neigen zum Zudroehnen. Für eine gewisse Zeit kann man seine Probleme und soweiter so in den Hintergrund schieben, aber das ist keine Lösung derselben und kann der Anfang eines neuen, sehr teuren Problems werden, ob ob man als Autofahrer mit THC im Blut erwischt wird oder der Konsum ins Uebermass steigt. Da sehe ich das Problem. Ist wie gesagt jedermanns eigene Entscheidung nur mein Ding ist Weed nicht mehr. In Sachen Alkohol denke ich genauso. Ich selbst bin nicht für Alkohol zu haben, denn davon sind viel zu viele Menschen abhängig und mein Vater war Alkoholiker. Die Jahre die er trank bevor er trocken wurde waren für mich und meine Familie ein echter Horror. Es lebt sich nüchtern wirklich besser als mit Drogen.;2024-04-27T15:41:08Z;0";"neutral/ohne Bezug";"The comment is neutral. It mentions cannabis legalization and personal experiences with drug use without expressing a clear opinion for or against legalization. The commenter shares personal preferences and concerns but does not explicitly support or oppose the legalization of cannabis in Germany.";"ARTEde"
"@marcoklecker;Was ist mit Holland (Niederlande)?;2024-04-27T10:41:00Z;0";"neutral/ohne Bezug";"The comment is unrelated. It does not refer to cannabis legalization at all.";"ARTEde"
"@philippbefeld3279;Sieh man ja, was das totale Verbot in Frankreich gebracht hat. Nichts.;2024-04-24T20:20:37Z;0";"neutral/ohne Bezug";"The comment is neutral. It mentions the total ban in France and its ineffectiveness but does not express a clear opinion on cannabis legalization in Germany.";"ARTEde"
